# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.12732375e+01	-1.07843611e-19	-2.05075851e+01	1.02537925e+01	2.09619678e+01	1.56366188e+01	2.58904113e+01	5.38282623e+00	1.56366188e+01	-1.56366188e+01	1.07081753e+01	-3.12157604e+01
2               	6.29308319e+00	-8.40573969e-19	-6.40853463e+00	3.20426732e+00	4.43119123e+00	3.14654159e+00	6.35080891e+00	-5.77257229e-02	3.14654159e+00	-3.14654159e+00	1.22692391e+00	-7.63545854e+00
3               	-5.35995407e+00	-1.15254218e-18	4.79730164e+00	-2.39865082e+00	-4.78469905e+00	-2.67997704e+00	-5.07862785e+00	-2.81326218e-01	-2.67997704e+00	2.67997704e+00	-2.38604824e+00	7.18334987e+00
4               	-3.56203244e+00	-1.04829936e-18	3.32892940e+00	-1.66446470e+00	-2.67425586e+00	-1.78101622e+00	-3.44548092e+00	-1.16551518e-01	-1.78101622e+00	1.78101622e+00	-1.00979116e+00	4.33872056e+00
5               	1.05256973e-01	-9.34153290e-19	-4.19591501e-01	2.09795750e-01	5.13895632e-01	5.26284865e-02	2.62424237e-01	-1.57167264e-01	5.26284865e-02	-5.26284865e-02	3.04099882e-01	-7.23691382e-01
6               	1.30099350e+00	-9.27631488e-19	-1.26987106e+00	6.34935528e-01	9.65426240e-01	6.50496751e-01	1.28543228e+00	1.55612228e-02	6.50496751e-01	-6.50496751e-01	3.30490712e-01	-1.60036177e+00
7               	8.24717866e-01	-9.56136141e-19	-5.16192626e-01	2.58096313e-01	2.52777914e-01	4.12358933e-01	6.70455246e-01	1.54262620e-01	4.12358933e-01	-4.12358933e-01	-5.31839881e-03	-5.10874227e-01
8               	2.29481051e-01	-9.67683450e-19	2.77680302e-02	-1.38840151e-02	-1.22328814e-01	1.14740526e-01	1.00856510e-01	1.28624541e-01	1.14740526e-01	-1.14740526e-01	-1.08444799e-01	1.36212829e-01
9               	3.39250820e-02	-9.63680487e-19	-3.00465747e-02	1.50232874e-02	-4.27462070e-02	1.69625410e-02	3.19858284e-02	1.93925365e-03	1.69625410e-02	-1.69625410e-02	-5.77694943e-02	2.77229196e-02
10              	8.90640680e-02	-9.58946511e-19	-2.13440097e-01	1.06720049e-01	9.37708521e-02	4.45320340e-02	1.51252083e-01	-6.21880146e-02	4.45320340e-02	-4.45320340e-02	-1.29491965e-02	-2.00490901e-01
11              	1.72772825e-01	-9.57842603e-19	-2.89704169e-01	1.44852085e-01	1.35256009e-01	8.63864126e-02	2.31238497e-01	-5.84656719e-02	8.63864126e-02	-8.63864126e-02	-9.59607571e-03	-2.80108093e-01
12              	2.00817201e-01	-9.58331259e-19	-2.79867477e-01	1.39933738e-01	1.23247336e-01	1.00408600e-01	2.40342339e-01	-3.95251379e-02	1.00408600e-01	-1.00408600e-01	-1.66864026e-02	-2.63181074e-01
13              	1.82273462e-01	-9.59059143e-19	-2.39091726e-01	1.19545863e-01	9.89509557e-02	9.11367310e-02	2.10682594e-01	-2.84091320e-02	9.11367310e-02	-9.11367310e-02	-2.05949074e-02	-2.18496819e-01
14              	1.55093033e-01	-9.59313138e-19	-2.21586287e-01	1.10793144e-01	9.01538396e-02	7.75465167e-02	1.88339660e-01	-3.32466269e-02	7.75465167e-02	-7.75465167e-02	-2.06393039e-02	-2.00946983e-01
15              	1.40733570e-01	-9.59151784e-19	-2.28440624e-01	1.14220312e-01	9.50945138e-02	7.03667851e-02	1.84587097e-01	-4.38535271e-02	7.03667851e-02	-7.03667851e-02	-1.91257985e-02	-2.09314826e-01
16              	1.36325587e-01	-9.58917576e-19	-2.42734576e-01	1.21367288e-01	1.02269741e-01	6.81627934e-02	1.89530081e-01	-5.32044944e-02	6.81627934e-02	-6.81627934e-02	-1.90975474e-02	-2.23637028e-01
17              	1.35126075e-01	-9.58744076e-19	-2.50318657e-01	1.25159328e-01	1.06860788e-01	6.75630376e-02	1.92722366e-01	-5.75962907e-02	6.75630376e-02	-6.75630376e-02	-1.82985402e-02	-2.32020116e-01
18              	1.33002547e-01	-9.58579260e-19	-2.55044908e-01	1.27522454e-01	1.10441949e-01	6.65012735e-02	1.94023728e-01	-6.10211807e-02	6.65012735e-02	-6.65012735e-02	-1.70805055e-02	-2.37964403e-01
19              	1.29906431e-01	-9.58409784e-19	-2.60355459e-01	1.30177730e-01	1.14643137e-01	6.49532154e-02	1.95130945e-01	-6.52245143e-02	6.49532154e-02	-6.49532154e-02	-1.55345930e-02	-2.44820866e-01
20              	1.26534482e-01	-9.58237223e-19	-2.68047678e-01	1.34023839e-01	1.19676973e-01	6.32672408e-02	1.97291080e-01	-7.07565982e-02	6.32672408e-02	-6.32672408e-02	-1.43468657e-02	-2.53700812e-01
21              	1.23592753e-01	-9.58071107e-19	-2.76217733e-01	1.38108866e-01	1.24746179e-01	6.17963764e-02	1.99905243e-01	-7.63124900e-02	6.17963764e-02	-6.17963764e-02	-1.33626875e-02	-2.62855045e-01
22              	1.21234336e-01	-9.57922559e-19	-2.82985564e-01	1.41492782e-01	1.29033646e-01	6.06171678e-02	2.02109950e-01	-8.08756142e-02	6.06171678e-02	-6.06171678e-02	-1.24591359e-02	-2.70526428e-01
23              	1.18549121e-01	-9.57903792e-19	-2.83352097e-01	1.41676049e-01	1.29335046e-01	5.92745605e-02	2.00950609e-01	-8.24014881e-02	5.92745605e-02	-5.92745605e-02	-1.23410023e-02	-2.71011095e-01
24              	1.15903129e-01	-9.57926862e-19	-2.81656540e-01	1.40828270e-01	1.28315106e-01	5.79515646e-02	1.98779834e-01	-8.28767052e-02	5.79515646e-02	-5.79515646e-02	-1.25131637e-02	-2.69143376e-01
25              	1.13708357e-01	-9.57895401e-19	-2.82977615e-01	1.41488807e-01	1.29145535e-01	5.68541784e-02	1.98342986e-01	-8.46346289e-02	5.68541784e-02	-5.68541784e-02	-1.23432720e-02	-2.70634343e-01
26              	1.12060331e-01	-9.57807126e-19	-2.87136070e-01	1.43568035e-01	1.31813216e-01	5.60301656e-02	1.99598201e-01	-8.75378695e-02	5.60301656e-02	-5.60301656e-02	-1.17548192e-02	-2.75381251e-01
27              	1.10622530e-01	-9.57704631e-19	-2.92025810e-01	1.46012905e-01	1.34910340e-01	5.53112652e-02	2.01324170e-01	-9.07016400e-02	5.53112652e-02	-5.53112652e-02	-1.11025657e-02	-2.80923245e-01
28              	1.09268970e-01	-9.57609563e-19	-2.96207027e-01	1.48103513e-01	1.37618206e-01	5.46344849e-02	2.02737998e-01	-9.34690285e-02	5.46344849e-02	-5.46344849e-02	-1.04853075e-02	-2.85721719e-01
29              	1.07928858e-01	-9.57525388e-19	-2.99807055e-01	1.49903527e-01	1.39927202e-01	5.39644290e-02	2.03867956e-01	-9.59390983e-02	5.39644290e-02	-5.39644290e-02	-9.97632557e-03	-2.89830729e-01
30              	1.06655133e-01	-9.57455380e-19	-3.02734470e-01	1.51367235e-01	1.41817541e-01	5.33275666e-02	2.04694802e-01	-9.80396683e-02	5.33275666e-02	-5.33275666e-02	-9.54969441e-03	-2.93184776e-01
31              	1.05252350e-01	-9.57426825e-19	-3.03740326e-01	1.51870163e-01	1.42446425e-01	5.26261749e-02	2.04496338e-01	-9.92439880e-02	5.26261749e-02	-5.26261749e-02	-9.42373766e-03	-2.94316588e-01
32              	1.03968822e-01	-9.57401349e-19	-3.04462014e-01	1.52231007e-01	1.42901468e-01	5.19844111e-02	2.04215418e-01	-1.00246596e-01	5.19844111e-02	-5.19844111e-02	-9.32953890e-03	-2.95132475e-01
33              	1.02842089e-01	-9.57360165e-19	-3.05981117e-01	1.52990558e-01	1.43859116e-01	5.14210443e-02	2.04411603e-01	-1.01569514e-01	5.14210443e-02	-5.14210443e-02	-9.13144227e-03	-2.96849675e-01
34              	1.01871723e-01	-9.57303394e-19	-3.08398099e-01	1.54199049e-01	1.45391741e-01	5.09358617e-02	2.05134911e-01	-1.03263188e-01	5.09358617e-02	-5.09358617e-02	-8.80730810e-03	-2.99590791e-01
35              	1.00921877e-01	-9.57248623e-19	-3.10737492e-01	1.55368746e-01	1.46869080e-01	5.04609386e-02	2.05829684e-01	-1.04907807e-01	5.04609386e-02	-5.04609386e-02	-8.49966578e-03	-3.02237826e-01
36              	1.00001214e-01	-9.57200136e-19	-3.12678394e-01	1.56339197e-01	1.48106823e-01	5.00006070e-02	2.06339804e-01	-1.06338590e-01	5.00006070e-02	-5.00006070e-02	-8.23237358e-03	-3.04446020e-01
37              	9.91069550e-02	-9.57156504e-19	-3.14437669e-01	1.57218834e-01	1.49198951e-01	4.95534775e-02	2.06772312e-01	-1.07665357e-01	4.95534775e-02	-4.95534775e-02	-8.01988330e-03	-3.06417786e-01
38              	9.82247611e-02	-9.57124669e-19	-3.15636624e-01	1.57818312e-01	1.49935880e-01	4.91123806e-02	2.06930692e-01	-1.08705931e-01	4.91123806e-02	-4.91123806e-02	-7.88243165e-03	-3.07754192e-01
39              	9.73792126e-02	-9.57095617e-19	-3.16724978e-01	1.58362489e-01	1.50590737e-01	4.86896063e-02	2.07052095e-01	-1.09672883e-01	4.86896063e-02	-4.86896063e-02	-7.77175210e-03	-3.08953226e-01
40              	9.65963519e-02	-9.57062502e-19	-3.17995135e-01	1.58997567e-01	1.51368880e-01	4.82981759e-02	2.07295743e-01	-1.10699391e-01	4.82981759e-02	-4.82981759e-02	-7.62868736e-03	-3.10366447e-01
41              	9.58685483e-02	-9.57023260e-19	-3.19595252e-01	1.59797626e-01	1.52343661e-01	4.79342741e-02	2.07731900e-01	-1.11863352e-01	4.79342741e-02	-4.79342741e-02	-7.45396487e-03	-3.12141287e-01
42              	9.51510483e-02	-9.56985945e-19	-3.21120617e-01	1.60560309e-01	1.53282260e-01	4.75755241e-02	2.08135833e-01	-1.12984785e-01	4.75755241e-02	-4.75755241e-02	-7.27804853e-03	-3.13842569e-01
43              	9.44530675e-02	-9.56950369e-19	-3.22575639e-01	1.61287819e-01	1.54167487e-01	4.72265338e-02	2.08514353e-01	-1.14061286e-01	4.72265338e-02	-4.72265338e-02	-7.12033223e-03	-3.15455307e-01
44              	9.37798049e-02	-9.56919370e-19	-3.23805158e-01	1.61902579e-01	1.54906965e-01	4.68899025e-02	2.08792481e-01	-1.15012676e-01	4.68899025e-02	-4.68899025e-02	-6.99561381e-03	-3.16809544e-01
45              	9.31290818e-02	-9.56891692e-19	-3.24915336e-01	1.62457668e-01	1.55562590e-01	4.65645409e-02	2.09022209e-01	-1.15893127e-01	4.65645409e-02	-4.65645409e-02	-6.89507821e-03	-3.18020258e-01
46              	9.25270865e-02	-9.56862560e-19	-3.26163543e-01	1.63081772e-01	1.56297080e-01	4.62635433e-02	2.09345315e-01	-1.16818228e-01	4.62635433e-02	-4.62635433e-02	-6.78469174e-03	-3.19378851e-01
47              	9.19327223e-02	-9.56834839e-19	-3.27427889e-01	1.63713945e-01	1.57042765e-01	4.59663611e-02	2.09680306e-01	-1.17747583e-01	4.59663611e-02	-4.59663611e-02	-6.67117973e-03	-3.20756709e-01
48              	9.13609133e-02	-9.56806410e-19	-3.28663298e-01	1.64331649e-01	1.57779390e-01	4.56804566e-02	2.10012105e-01	-1.18651192e-01	4.56804566e-02	-4.56804566e-02	-6.55225878e-03	-3.22111039e-01
49              	9.08057406e-02	-9.56778992e-19	-3.29841318e-01	1.64920659e-01	1.58473682e-01	4.54028703e-02	2.10323529e-01	-1.19517789e-01	4.54028703e-02	-4.54028703e-02	-6.44697756e-03	-3.23394341e-01
50              	9.02735867e-02	-9.56753409e-19	-3.30946189e-01	1.65473094e-01	1.59119101e-01	4.51367934e-02	2.10609888e-01	-1.20336301e-01	4.51367934e-02	-4.51367934e-02	-6.35399291e-03	-3.24592196e-01
51              	8.97667069e-02	-9.56728500e-19	-3.32049172e-01	1.66024586e-01	1.59759894e-01	4.48833535e-02	2.10907939e-01	-1.21141233e-01	4.48833535e-02	-4.48833535e-02	-6.26469203e-03	-3.25784480e-01
52              	8.92824353e-02	-9.56703759e-19	-3.33181926e-01	1.66590963e-01	1.60417973e-01	4.46412176e-02	2.11232181e-01	-1.21949746e-01	4.46412176e-02	-4.46412176e-02	-6.17298995e-03	-3.27008936e-01
53              	8.88044983e-02	-9.56679584e-19	-3.34310980e-01	1.67155490e-01	1.61076633e-01	4.44022491e-02	2.11557739e-01	-1.22753241e-01	4.44022491e-02	-4.44022491e-02	-6.07885703e-03	-3.28232123e-01
54              	8.83301614e-02	-9.56656860e-19	-3.35385998e-01	1.67692999e-01	1.61700940e-01	4.41650807e-02	2.11858080e-01	-1.23527918e-01	4.41650807e-02	-4.41650807e-02	-5.99205926e-03	-3.29393939e-01
55              	8.78580334e-02	-9.56635534e-19	-3.36386224e-01	1.68193112e-01	1.62280548e-01	4.39290167e-02	2.12122129e-01	-1.24264095e-01	4.39290167e-02	-4.39290167e-02	-5.91256396e-03	-3.30473660e-01
56              	8.74150380e-02	-9.56613404e-19	-3.37445113e-01	1.68722556e-01	1.62891130e-01	4.37075190e-02	2.12430075e-01	-1.25015037e-01	4.37075190e-02	-4.37075190e-02	-5.83142636e-03	-3.31613686e-01
57              	8.69897979e-02	-9.56591797e-19	-3.38520647e-01	1.69260323e-01	1.63510681e-01	4.34948989e-02	2.12755222e-01	-1.25765424e-01	4.34948989e-02	-4.34948989e-02	-5.74964254e-03	-3.32771004e-01
58              	8.65754452e-02	-9.56571463e-19	-3.39545930e-01	1.69772965e-01	1.64105872e-01	4.32877226e-02	2.13060688e-01	-1.26485243e-01	4.32877226e-02	-4.32877226e-02	-5.66709322e-03	-3.33878837e-01
59              	8.61710848e-02	-9.56551614e-19	-3.40548553e-01	1.70274276e-01	1.64690736e-01	4.30855424e-02	2.13359819e-01	-1.27188734e-01	4.30855424e-02	-4.30855424e-02	-5.58354052e-03	-3.34965012e-01
60              	8.57742311e-02	-9.56531526e-19	-3.41572047e-01	1.70786023e-01	1.65290737e-01	4.28871156e-02	2.13673139e-01	-1.27898908e-01	4.28871156e-02	-4.28871156e-02	-5.49528667e-03	-3.36076760e-01
61              	8.53819520e-02	-9.56511488e-19	-3.42602505e-01	1.71301252e-01	1.65898769e-01	4.26909760e-02	2.13992228e-01	-1.28610276e-01	4.26909760e-02	-4.26909760e-02	-5.40248362e-03	-3.37200021e-01
