# ccx tau_xx tau_yy tau_zz cp yplus
0.0242382 -4.83427e-05 -1.37164e-05 -3.01857e-21 0.112257 0.410851
0.0225796 -2.68037e-05 -7.68813e-06 -3.18554e-21 0.0600785 0.306174
0.0210071 -2.3124e-05 -7.16532e-06 -6.70706e-21 0.0464233 0.285624
0.0195407 -9.20284e-05 -3.52801e-05 -4.33206e-25 -0.193587 0.568762
0.0182294 -0.000101469 -6.16785e-05 3.70018e-21 0.193694 0.591107
0.0170364 -6.38929e-05 -3.92143e-05 1.46937e-39 0.206507 0.470761
0.0158978 -5.20768e-05 -3.25418e-05 1.47671e-37 0.32768 0.427373
0.0148095 -6.32313e-05 -3.95364e-05 -1.03813e-24 0.233163 0.472369
0.0138032 -7.13642e-05 -5.39382e-05 1.0858e-24 0.400462 0.497329
0.0128799 -5.20583e-05 -4.07562e-05 6.60068e-41 0.44157 0.426712
0.0120005 -5.10527e-05 -3.98047e-05 -1.18683e-24 0.484613 0.424143
0.0111578 -3.656e-05 -2.92794e-05 5.07146e-21 0.546595 0.362498
0.010349 -5.25064e-05 -4.1733e-05 -5.27208e-21 0.469139 0.435958
0.00961366 -5.86181e-05 -5.8278e-05 2.74952e-21 0.603832 0.455279
0.00895501 -4.38469e-05 -4.55781e-05 5.71349e-21 0.636708 0.396262
0.00832779 -3.81656e-05 -3.99806e-05 -2.96944e-21 0.69328 0.373221
0.00772376 -3.78431e-05 -3.93395e-05 -3.08584e-21 0.695905 0.373752
0.00714122 -2.36129e-05 -2.5739e-05 3.19596e-21 0.77214 0.301389
0.0065801 -4.39694e-05 -4.69908e-05 1.61344e-24 0.659704 0.411654
0.00611303 -4.0421e-05 -6.70548e-05 -8.03561e-41 0.834433 0.388155
0.00573449 -2.41411e-05 -4.12234e-05 -2.86986e-42 0.836404 0.307318
0.00536667 -2.32325e-05 -3.94759e-05 -3.53216e-24 0.888696 0.305283
0.0050089 -1.81674e-05 -3.12507e-05 -1.85558e-21 0.898494 0.275193
0.00466058 -1.70291e-05 -2.92136e-05 -3.72847e-24 0.92484 0.270141
0.00432111 -1.47081e-05 -2.53325e-05 7.6483e-24 0.934795 0.255233
0.00398998 -1.29722e-05 -2.24607e-05 4.0089e-21 0.953073 0.243846
0.00367038 -1.29538e-05 -2.30036e-05 -5.87747e-39 0.955708 0.247664
0.00338308 -1.02908e-05 -2.1494e-05 4.11478e-24 0.979379 0.226706
0.00312386 -7.39593e-06 -1.56609e-05 -2.16537e-21 0.983447 0.196762
0.00287099 -6.40926e-06 -1.35162e-05 8.96314e-38 0.994265 0.186201
0.00262405 -4.79551e-06 -1.01477e-05 -1.46937e-39 0.997356 0.16421
0.00238261 -3.65364e-06 -7.6811e-06 2.31687e-21 1.00354 0.145501
0.00214631 -2.34173e-06 -4.8873e-06 2.36605e-21 1.00446 0.118172
0.00191478 -8.24365e-07 -1.59209e-06 -1.20689e-21 1.00784 0.069106
0.00168909 7.51634e-07 1.72135e-06 1.23036e-21 1.00543 0.072006
0.00152512 1.36972e-06 6.60803e-06 2.20405e-39 1.00507 0.120522
0.00142004 2.07726e-06 9.75377e-06 4.94531e-24 0.998233 0.150227
0.00131634 2.52261e-06 1.20474e-05 -1.00156e-23 0.995684 0.171032
0.00121394 3.18416e-06 1.5047e-05 6.53746e-22 0.987996 0.195722
0.00111277 3.61812e-06 1.72794e-05 6.5602e-22 0.982418 0.214434
0.00101274 4.24734e-06 2.02476e-05 -5.8878e-38 0.974016 0.237089
0.000913782 4.74108e-06 2.27492e-05 6.69649e-22 0.965473 0.256304
0.000815831 5.42123e-06 2.60637e-05 -6.7063e-22 0.955771 0.279417
0.000718819 5.98157e-06 2.89407e-05 -5.32645e-24 0.943779 0.299392
0.000622679 6.91098e-06 3.35637e-05 6.87207e-22 0.932273 0.327325
0.00052735 7.56218e-06 3.71757e-05 6.92083e-22 0.914231 0.349082
0.000435199 9.2902e-06 4.76062e-05 1.38872e-21 0.900318 0.398544
0.000367352 5.1343e-06 4.68388e-05 5.49198e-24 0.862294 0.388122
0.000321232 4.21823e-06 4.22731e-05 -3.54705e-22 0.863883 0.372943
0.000275506 4.86112e-06 4.80914e-05 -3.60027e-22 0.841475 0.401912
0.000230116 5.04433e-06 5.08864e-05 -3.56541e-22 0.825227 0.416761
0.000185005 5.47755e-06 5.60871e-05 -3.59565e-22 0.803614 0.440069
0.000140115 6.03674e-06 6.21429e-05 -3.6212e-22 0.779277 0.464848
9.53939e-05 6.51228e-06 7.00807e-05 -1.41698e-24 0.749752 0.494129
5.07863e-05 7.65352e-06 8.57511e-05 3.62788e-22 0.712978 0.546144
2.26775e-05 2.50461e-06 0.000103888 -1.82128e-22 0.650453 0.600777
4.02726e-05 -7.06481e-06 7.75323e-05 -7.25287e-22 0.58269 0.519417
8.71581e-05 -6.03071e-06 5.75526e-05 3.6318e-22 0.622462 0.447979
0.000134159 -7.1038e-06 6.70923e-05 -3.67342e-40 0.590389 0.483197
0.000181337 -7.28696e-06 6.82617e-05 -3.60234e-22 0.578072 0.485803
0.000228756 -7.85031e-06 7.22806e-05 0 0.551563 0.497128
0.000276481 -8.91478e-06 8.02278e-05 0 0.52995 0.519688
0.000324578 -9.44115e-06 8.37045e-05 -3.49143e-22 0.486576 0.52555
0.000374146 -1.31102e-05 0.000106633 3.45489e-22 0.465798 0.587325
0.000447187 -1.90102e-05 9.32853e-05 -6.89773e-22 0.356818 0.559581
0.000542805 -1.41314e-05 6.98552e-05 6.92031e-22 0.401066 0.478384
0.000639196 -1.69955e-05 8.0272e-05 -5.32238e-24 0.364199 0.506464
0.000736424 -1.71878e-05 8.14263e-05 -5.2749e-24 0.34393 0.502399
0.000834555 -1.84242e-05 8.62453e-05 7.29693e-28 0.314461 0.50858
0.000933654 -1.97521e-05 9.17101e-05 5.17262e-24 0.281325 0.51501
0.00103379 -2.12989e-05 9.80433e-05 -6.54906e-22 0.241836 0.522169
0.00113504 -2.34146e-05 0.000106537 -1.10203e-39 0.197262 0.533089
0.00123747 -2.59125e-05 0.000116596 -1.27385e-21 0.140412 0.545509
0.00134117 -3.00657e-05 0.000132467 6.25964e-22 0.0760757 0.568265
