# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	2.05922722e+01	-2.33877981e-19	-6.74920602e+01	3.37460301e+01	4.18226017e+01	1.02961361e+01	4.40421662e+01	-2.34498940e+01	1.02961361e+01	-1.02961361e+01	8.07657162e+00	-7.55686319e+01
2               	2.32521931e+00	-2.90044939e-19	-7.98295249e-01	3.99147625e-01	1.47595209e+00	1.16260966e+00	1.56175728e+00	7.63462030e-01	1.16260966e+00	-1.16260966e+00	1.07680446e+00	-1.87509971e+00
3               	-1.63320704e+00	-2.86048548e-19	7.50977180e+00	-3.75488590e+00	-3.81273719e+00	-8.16603520e-01	-4.57148942e+00	2.93828238e+00	-8.16603520e-01	8.16603520e-01	-5.78512880e-02	7.56762309e+00
4               	-7.90556003e-01	-2.68421164e-19	3.86033488e+00	-1.93016744e+00	-1.69402440e+00	-3.95278001e-01	-2.32544544e+00	1.53488944e+00	-3.95278001e-01	3.95278001e-01	2.36143046e-01	3.62419184e+00
5               	-4.99605672e-01	-2.65177475e-19	9.79313486e-01	-4.89656743e-01	-9.53034931e-01	-2.49802836e-01	-7.39459579e-01	2.39853907e-01	-2.49802836e-01	2.49802836e-01	-4.63378188e-01	1.44269167e+00
6               	-8.50259168e-02	-2.69239894e-19	-1.51835008e+00	7.59175040e-01	1.47732610e-01	-4.25129584e-02	7.16662082e-01	-8.01687999e-01	-4.25129584e-02	4.25129584e-02	-6.11442431e-01	-9.06907650e-01
7               	2.66176116e-02	-2.72421472e-19	-1.73649973e+00	8.68249864e-01	3.71141359e-01	1.33088058e-02	8.81558670e-01	-8.54941059e-01	1.33088058e-02	-1.33088058e-02	-4.97108506e-01	-1.23939122e+00
8               	4.08026045e-02	-2.73815778e-19	-9.75591843e-01	4.87795922e-01	2.63852586e-01	2.04013023e-02	5.08197224e-01	-4.67394619e-01	2.04013023e-02	-2.04013023e-02	-2.23943335e-01	-7.51648508e-01
9               	7.45030717e-02	-2.72971876e-19	-1.74921559e-01	8.74607794e-02	1.10599284e-01	3.72515358e-02	1.24712315e-01	-5.02092436e-02	3.72515358e-02	-3.72515358e-02	2.31385042e-02	-1.98060063e-01
10              	1.25534243e-01	-2.71243223e-19	7.51121883e-02	-3.75560941e-02	1.08249636e-01	6.27671214e-02	2.52110272e-02	1.00323216e-01	6.27671214e-02	-6.27671214e-02	1.45805730e-01	-7.06935418e-02
11              	1.33647722e-01	-2.70336716e-19	-1.34472160e-01	6.72360802e-02	1.80236881e-01	6.68238608e-02	1.34059941e-01	-4.12219412e-04	6.68238608e-02	-6.68238608e-02	1.13000801e-01	-2.47472961e-01
12              	1.15919319e-01	-2.70410661e-19	-5.12369516e-01	2.56184758e-01	2.75707296e-01	5.79596593e-02	3.14144417e-01	-1.98225099e-01	5.79596593e-02	-5.79596593e-02	1.95225375e-02	-5.31892054e-01
13              	8.27937608e-02	-2.70940398e-19	-7.25960728e-01	3.62980364e-01	2.95856098e-01	4.13968804e-02	4.04377244e-01	-3.21583483e-01	4.13968804e-02	-4.13968804e-02	-6.71242657e-02	-6.58836462e-01
14              	5.98773083e-02	-2.71573871e-19	-7.59497381e-01	3.79748691e-01	2.70561278e-01	2.99386541e-02	4.09687345e-01	-3.49810036e-01	2.99386541e-02	-2.99386541e-02	-1.09187413e-01	-6.50309968e-01
15              	5.12238931e-02	-2.71893782e-19	-7.03412498e-01	3.51706249e-01	2.38120285e-01	2.56119466e-02	3.77318196e-01	-3.26094302e-01	2.56119466e-02	-2.56119466e-02	-1.13585964e-01	-5.89826534e-01
16              	5.65124661e-02	-2.72115684e-19	-6.29812134e-01	3.14906067e-01	2.23703896e-01	2.82562330e-02	3.43162300e-01	-2.86649834e-01	2.82562330e-02	-2.82562330e-02	-9.12021711e-02	-5.38609963e-01
17              	6.56253089e-02	-2.72307609e-19	-5.77112199e-01	2.88556100e-01	2.23790836e-01	3.28126545e-02	3.21368754e-01	-2.55743445e-01	3.28126545e-02	-3.28126545e-02	-6.47652633e-02	-5.12346936e-01
18              	7.37826597e-02	-2.72420588e-19	-5.53657304e-01	2.76828652e-01	2.33597679e-01	3.68913298e-02	3.13719982e-01	-2.39937322e-01	3.68913298e-02	-3.68913298e-02	-4.32309729e-02	-5.10426332e-01
19              	7.95594484e-02	-2.72454262e-19	-5.59546362e-01	2.79773181e-01	2.47762098e-01	3.97797242e-02	3.19552905e-01	-2.39993457e-01	3.97797242e-02	-3.97797242e-02	-3.20110834e-02	-5.27535279e-01
20              	8.21894613e-02	-2.72451209e-19	-5.76925161e-01	2.88462581e-01	2.59301191e-01	4.10947307e-02	3.29557311e-01	-2.47367850e-01	4.10947307e-02	-4.10947307e-02	-2.91613895e-02	-5.47763772e-01
21              	8.34842248e-02	-2.72333355e-19	-5.97418057e-01	2.98709028e-01	2.67817265e-01	4.17421124e-02	3.40451141e-01	-2.56966916e-01	4.17421124e-02	-4.17421124e-02	-3.08917639e-02	-5.66526293e-01
22              	8.44320364e-02	-2.72276972e-19	-6.23940484e-01	3.11970242e-01	2.77357610e-01	4.22160182e-02	3.54186260e-01	-2.69754224e-01	4.22160182e-02	-4.22160182e-02	-3.46126321e-02	-5.89327852e-01
23              	8.40785489e-02	-2.72187441e-19	-6.51089519e-01	3.25544759e-01	2.84731944e-01	4.20392745e-02	3.67584034e-01	-2.83505485e-01	4.20392745e-02	-4.20392745e-02	-4.08128153e-02	-6.10276704e-01
24              	8.33840818e-02	-2.72115126e-19	-6.66821604e-01	3.33410802e-01	2.88808810e-01	4.16920409e-02	3.75102843e-01	-2.91718761e-01	4.16920409e-02	-4.16920409e-02	-4.46019923e-02	-6.22219612e-01
25              	8.26389570e-02	-2.72081944e-19	-6.78991150e-01	3.39495575e-01	2.91896535e-01	4.13194785e-02	3.80815054e-01	-2.98176097e-01	4.13194785e-02	-4.13194785e-02	-4.75990403e-02	-6.31392110e-01
26              	8.25887804e-02	-2.72026092e-19	-6.85816771e-01	3.42908385e-01	2.94745817e-01	4.12943902e-02	3.84202776e-01	-3.01613995e-01	4.12943902e-02	-4.12943902e-02	-4.81625682e-02	-6.37654203e-01
27              	8.34058596e-02	-2.72016773e-19	-6.86398861e-01	3.43199431e-01	2.97141518e-01	4.17029298e-02	3.84902360e-01	-3.01496501e-01	4.17029298e-02	-4.17029298e-02	-4.60579126e-02	-6.40340949e-01
28              	8.52482055e-02	-2.71967002e-19	-6.84316616e-01	3.42158308e-01	3.00116055e-01	4.26241028e-02	3.84782411e-01	-2.99534205e-01	4.26241028e-02	-4.26241028e-02	-4.20422525e-02	-6.42274363e-01
29              	8.73015315e-02	-2.71845871e-19	-6.81753312e-01	3.40876656e-01	3.02939625e-01	4.36507657e-02	3.84527422e-01	-2.97225890e-01	4.36507657e-02	-4.36507657e-02	-3.79370312e-02	-6.43816280e-01
30              	8.92423623e-02	-2.71702874e-19	-6.82113129e-01	3.41056565e-01	3.06324983e-01	4.46211811e-02	3.85677746e-01	-2.96435383e-01	4.46211811e-02	-4.46211811e-02	-3.47315812e-02	-6.47381548e-01
31              	9.07349197e-02	-2.71576035e-19	-6.87752617e-01	3.43876309e-01	3.10618782e-01	4.53674598e-02	3.89243768e-01	-2.98508849e-01	4.53674598e-02	-4.53674598e-02	-3.32575263e-02	-6.54495091e-01
32              	9.15662220e-02	-2.71433448e-19	-6.98247690e-01	3.49123845e-01	3.15347185e-01	4.57831110e-02	3.94906956e-01	-3.03340734e-01	4.57831110e-02	-4.57831110e-02	-3.37766597e-02	-6.64471030e-01
33              	9.18442138e-02	-2.71302984e-19	-7.10360290e-01	3.55180145e-01	3.19639579e-01	4.59221069e-02	4.01102252e-01	-3.09258038e-01	4.59221069e-02	-4.59221069e-02	-3.55405661e-02	-6.74819724e-01
