# y+ ()         
# Time          	patch           	min             	max             	average         
1000            	Ground	4.36579309e-01	3.08092755e+00	2.05754373e+00
1000            	Airfoil	4.64562383e-01	4.57190573e+01	9.28186356e+00
2000            	Ground	2.62879683e-01	3.00557184e+00	2.10635284e+00
2000            	Airfoil	4.83603267e-01	4.50758643e+01	9.45945612e+00
3000            	Ground	4.82674585e-01	3.00325815e+00	2.12889800e+00
3000            	Airfoil	4.93838668e-01	4.48093972e+01	9.52961322e+00
4000            	Ground	4.88462330e-01	3.02674519e+00	2.13759193e+00
4000            	Airfoil	4.97887156e-01	4.47032636e+01	9.55689887e+00
5000            	Ground	4.62891587e-01	3.03569905e+00	2.14048504e+00
5000            	Airfoil	4.99015677e-01	4.46641721e+01	9.56759168e+00
6000            	Ground	4.48090786e-01	3.03927420e+00	2.14084485e+00
6000            	Airfoil	4.99577554e-01	4.46533083e+01	9.57238236e+00
