# ccx tau_xx tau_yy tau_zz cp yplus
0.995662 4.31226e-06 2.13288e-06 -3.52648e-38 -0.351126 2.52354
0.986457 8.01366e-06 2.45877e-06 1.57781e-20 -0.389733 3.73636
0.976759 6.1461e-06 1.74107e-06 8.6742e-29 -0.390057 3.25184
0.967222 4.88976e-06 1.45034e-06 -1.17639e-20 -0.397854 2.83287
0.957886 3.96936e-06 1.14858e-06 1.33035e-20 -0.401262 2.5056
0.948682 3.44012e-06 9.38971e-07 1.43374e-20 -0.403402 2.29238
0.939599 3.19899e-06 8.59134e-07 1.47435e-23 -0.405098 2.17037
0.930641 3.16671e-06 8.32036e-07 -1.56005e-20 -0.407389 2.1184
0.921794 3.19489e-06 8.14883e-07 -1.59889e-20 -0.41029 2.08993
0.91304 3.24447e-06 8.05604e-07 -3.05629e-37 -0.413466 2.06947
0.904378 3.30971e-06 8.04338e-07 1.17549e-38 -0.41697 2.05375
0.895807 3.37092e-06 8.06117e-07 1.67547e-20 -0.420702 2.03633
0.887326 3.40906e-06 8.03413e-07 -2.35099e-38 -0.424649 2.01206
0.878929 3.4356e-06 7.98913e-07 1.17549e-38 -0.428684 1.9842
0.870612 3.44929e-06 7.88258e-07 -1.74845e-20 -0.432931 1.95367
0.862368 3.4576e-06 7.72721e-07 5.93257e-37 -0.437256 1.9226
0.854198 3.47589e-06 7.64227e-07 -1.80028e-20 -0.441787 1.89376
0.846099 3.49075e-06 7.42474e-07 -1.17549e-38 -0.446517 1.8672
0.83807 3.50601e-06 7.34444e-07 -5.87747e-39 -0.451379 1.83855
0.830108 3.52674e-06 7.16882e-07 9.42028e-21 -0.456462 1.81395
0.82221 3.53662e-06 7.0697e-07 -3.71446e-23 -0.461729 1.78521
0.814376 3.55104e-06 6.906e-07 3.76274e-23 -0.467144 1.75935
0.806602 3.55616e-06 6.79408e-07 -1.95518e-20 -0.47281 1.73034
0.798888 3.56889e-06 6.63169e-07 -9.87866e-21 -0.47859 1.70461
0.791234 3.5702e-06 6.50838e-07 2.00493e-20 -0.484701 1.67551
0.783644 3.57907e-06 6.29994e-07 -1.01791e-20 -0.490889 1.65029
0.776115 3.57998e-06 6.17914e-07 -5.87747e-39 -0.497482 1.62156
0.768638 3.58293e-06 5.89923e-07 -6.46522e-38 -0.50418 1.59772
0.761211 3.58833e-06 5.74598e-07 -1.0484e-20 -0.511318 1.57089
0.753838 3.57776e-06 5.43739e-07 1.05637e-20 -0.518656 1.54529
0.746522 3.58462e-06 5.21247e-07 -1.06898e-20 -0.526348 1.52127
0.73926 3.56312e-06 4.93822e-07 -4.23445e-23 -0.534435 1.4927
0.732042 3.56308e-06 4.61214e-07 1.09896e-20 -0.542732 1.47049
0.724872 3.54704e-06 4.38516e-07 2.93874e-39 -0.551668 1.4422
0.717758 3.51816e-06 3.98019e-07 2.23861e-20 -0.560737 1.41639
0.710696 3.51688e-06 3.71184e-07 -1.12956e-20 -0.570451 1.39261
0.703677 3.46792e-06 3.3757e-07 -4.45451e-23 -0.580564 1.36119
0.696705 3.43802e-06 2.97381e-07 4.49962e-23 -0.591061 1.33518
0.689786 3.40492e-06 2.63392e-07 6.04382e-27 -0.602293 1.30648
0.682916 3.30394e-06 2.1007e-07 -4.59056e-23 -0.613899 1.26879
0.676084 3.29877e-06 1.70277e-07 1.18974e-20 -0.626081 1.24809
0.669303 3.18877e-06 1.28009e-07 -1.19877e-20 -0.639352 1.20681
0.662571 3.02328e-06 5.01656e-08 4.72795e-23 -0.652542 1.16112
0.655878 3.01895e-06 6.59479e-09 -4.76651e-23 -0.666998 1.14164
0.649227 2.80339e-06 -5.98446e-08 -1.23661e-20 -0.6824 1.08306
0.642624 2.59882e-06 -1.57253e-07 1.2555e-20 -0.697782 1.03089
0.636065 2.5738e-06 -2.0329e-07 -9.80498e-23 -0.714758 1.01018
0.629542 2.28416e-06 -2.89988e-07 4.94316e-23 -0.732698 0.93812
0.623066 2.02812e-06 -3.88407e-07 -1.02856e-38 -0.750713 0.874728
0.616637 1.94197e-06 -4.57152e-07 -6.45482e-21 -0.770409 0.844286
0.610244 1.57664e-06 -5.47199e-07 6.50732e-21 -0.791255 0.754484
0.603894 1.23497e-06 -6.64254e-07 6.58242e-21 -0.812181 0.671508
0.59759 1.10524e-06 -7.7339e-07 -6.63996e-21 -0.834863 0.638977
0.591325 5.92103e-07 -8.849e-07 -1.40049e-39 -0.859288 0.531582
0.585098 7.28755e-08 -1.01798e-06 -6.7689e-21 -0.883051 0.499578
0.578916 -2.83451e-08 -1.15913e-06 6.83318e-21 -0.908974 0.527221
0.572775 -7.85461e-07 -1.28072e-06 -6.84697e-21 -0.937803 0.631486
0.566668 -1.60144e-06 -1.42098e-06 -1.02856e-37 -0.964061 0.776254
0.560604 -1.73542e-06 -1.56825e-06 6.90826e-21 -0.993345 0.799621
0.554582 -2.5391e-06 -1.69834e-06 6.89087e-21 -1.02557 0.915021
0.548592 -3.6308e-06 -1.82678e-06 -5.3755e-23 -1.05585 1.05591
0.542643 -4.09487e-06 -1.97646e-06 -6.86439e-21 -1.08703 1.10555
0.536736 -4.60823e-06 -2.13562e-06 5.40583e-23 -1.12137 1.15435
0.53086 -5.84421e-06 -2.24092e-06 -8.22674e-27 -1.15701 1.27199
0.525025 -6.79036e-06 -2.37049e-06 6.87521e-21 -1.18917 1.35364
0.519232 -6.9949e-06 -2.56179e-06 7.00371e-21 -1.22522 1.35941
0.513469 -8.1712e-06 -2.66405e-06 -9.09206e-27 -1.26537 1.44407
0.507746 -9.49579e-06 -2.7697e-06 -8.83411e-27 -1.2998 1.53908
0.502065 -9.85063e-06 -2.9501e-06 1.38917e-20 -1.33759 1.55074
0.496414 -1.06187e-05 -3.11606e-06 6.97717e-21 -1.37866 1.58968
0.490803 -1.20865e-05 -3.19958e-06 8.81621e-38 -1.42035 1.6741
0.485232 -1.31694e-05 -3.33216e-06 -1.39906e-20 -1.45798 1.73087
0.479691 -1.34433e-05 -3.5746e-06 -5.48506e-23 -1.50042 1.73063
0.474188 -1.4894e-05 -3.66671e-06 7.1274e-21 -1.54865 1.79721
0.468725 -1.6804e-05 -3.71114e-06 -3.55914e-21 -1.58875 1.89233
0.463293 -1.73723e-05 -3.89631e-06 -3.51666e-21 -1.6305 1.90601
0.457896 -1.78294e-05 -4.14666e-06 7.34684e-40 -1.67677 1.91116
0.45254 -1.99115e-05 -4.13251e-06 5.50184e-23 -1.72932 1.99471
0.447216 -2.20324e-05 -4.14633e-06 -1.01734e-26 -1.76612 2.08652
0.441922 -2.20593e-05 -4.41148e-06 3.48365e-21 -1.81113 2.06801
0.436669 -2.3046e-05 -4.57972e-06 -3.60875e-21 -1.86129 2.0919
0.431451 -2.53683e-05 -4.53336e-06 -3.47861e-21 -1.91152 2.17449
0.426261 -2.70926e-05 -4.59011e-06 -3.53755e-21 -1.95096 2.23398
0.42111 -2.72045e-05 -4.87415e-06 1.46937e-39 -1.99815 2.21853
0.415996 -2.85828e-05 -4.96349e-06 3.62226e-21 -2.05218 2.25143
0.410909 -3.11327e-05 -4.86658e-06 -5.54853e-23 -2.09984 2.33292
0.405859 -3.24783e-05 -4.95431e-06 3.30608e-39 -2.14079 2.36803
0.400848 -3.26564e-05 -5.23667e-06 -3.59206e-21 -2.18856 2.35443
0.395865 -3.42417e-05 -5.27512e-06 3.53173e-21 -2.24439 2.38848
0.390916 -3.68835e-05 -5.16773e-06 5.59979e-23 -2.29005 2.46421
0.386004 -3.80068e-05 -5.29298e-06 -3.59835e-21 -2.33252 2.48564
0.381122 -3.83246e-05 -5.55808e-06 3.61915e-21 -2.38122 2.47604
0.376272 -3.99686e-05 -5.58606e-06 3.56389e-21 -2.43803 2.50683
0.37146 -4.2572e-05 -5.48948e-06 1.16665e-26 -2.48439 2.57262
0.36668 -4.36974e-05 -5.62329e-06 5.67487e-23 -2.5289 2.58996
0.361929 -4.41725e-05 -5.87414e-06 6.61216e-39 -2.57887 2.58424
0.357214 -4.58239e-05 -5.91821e-06 -7.35336e-21 -2.63638 2.61107
0.352535 -4.84401e-05 -5.82782e-06 5.71315e-23 -2.68487 2.66941
0.347885 -4.96872e-05 -5.96096e-06 -2.86582e-23 -2.73036 2.68741
0.343265 -5.00718e-05 -6.25225e-06 -1.88263e-39 -2.78209 2.67859
0.338682 -5.18634e-05 -6.30088e-06 8.71383e-40 -2.84409 2.70566
0.334132 -5.53031e-05 -6.08805e-06 -9.85348e-40 -2.89647 2.78006
0.329609 -5.71035e-05 -6.14698e-06 -8.86814e-44 -2.93874 2.81241
0.32512 -5.70616e-05 -6.5051e-06 2.2215e-39 -2.98997 2.79315
0.320667 -5.85525e-05 -6.61899e-06 -3.87431e-40 -3.05455 2.8103
0.316244 -6.31237e-05 -6.18281e-06 2.88494e-23 -3.11533 2.9043
0.311847 -6.63661e-05 -5.98739e-06 -2.88053e-23 -3.14658 2.97289
0.307485 -6.57068e-05 -6.39157e-06 -1.85994e-21 -3.19138 2.94117
0.303159 -6.60631e-05 -6.69073e-06 -7.27122e-27 -3.24822 2.93229
0.29886 -7.08968e-05 -6.12691e-06 3.70464e-21 -3.32145 3.02094
0.294589 -7.59983e-05 -5.58244e-06 -7.71418e-39 -3.33787 3.13072
0.290352 -7.50727e-05 -5.98958e-06 2.89962e-23 -3.37534 3.0962
0.28615 -7.51394e-05 -6.24962e-06 -1.87377e-21 -3.41866 3.08236
0.281976 -7.7939e-05 -6.01099e-06 -1.89624e-21 -3.4804 3.12274
0.27783 -8.20529e-05 -5.6033e-06 5.56523e-38 -3.50744 3.20002
0.273718 -8.25725e-05 -5.78051e-06 -9.8138e-40 -3.54139 3.19784
0.26964 -8.30618e-05 -5.93985e-06 -9.18355e-41 -3.58026 3.19297
0.26559 -8.43175e-05 -5.9993e-06 -9.14947e-22 -3.62576 3.20252
0.261569 -8.64322e-05 -5.95163e-06 -5.90855e-23 -3.66882 3.22996
0.25758 -8.79149e-05 -6.02041e-06 -9.19763e-22 -3.70861 3.24545
0.253624 -8.82896e-05 -6.26529e-06 -1.91078e-21 -3.75314 3.23862
0.2497 -8.90329e-05 -6.51922e-06 6.11624e-38 -3.80813 3.23863
0.245803 -9.33707e-05 -6.159e-06 -2.29589e-41 -3.88077 3.30329
0.241935 -9.76565e-05 -5.80456e-06 -2.9682e-23 -3.90778 3.3765
0.238099 -9.57448e-05 -6.38578e-06 5.4924e-27 -3.95402 3.33117
0.234296 -9.4377e-05 -7.0082e-06 -9.68744e-22 -4.02293 3.29582
0.230523 -0.000102841 -6.19459e-06 4.44161e-23 -4.14917 3.42622
0.226777 -0.000116332 -4.07632e-06 -1.44176e-23 -4.16258 3.66573
0.223059 -0.000116069 -3.84899e-06 2.82394e-39 -4.16024 3.66948
0.219371 -0.000109425 -4.82707e-06 4.54162e-22 -4.19043 3.55606
0.215715 -0.000108727 -5.35717e-06 -4.42862e-22 -4.28779 3.53815
0.212091 -0.000132054 -1.72757e-06 -1.38988e-23 -4.46034 3.90593
0.208494 -0.000147747 2.65455e-06 -1.08091e-22 -4.2855 4.20044
0.204927 -0.000131231 5.41301e-07 -6.88766e-41 -4.26714 3.96018
0.201388 -0.00012377 -5.26052e-07 1.42435e-23 -4.27555 3.8484
0.197879 -0.000136926 1.32916e-06 9.58355e-23 -4.44824 4.04964
0.194402 -0.000160404 8.01968e-06 -4.19125e-22 -4.35945 4.45023
0.190959 -0.000155615 8.82039e-06 -1.30253e-23 -4.22877 4.42253
0.187547 -0.000142278 7.01402e-06 1.33796e-23 -4.15611 4.24129
0.184164 -0.000136558 6.33758e-06 -1.36982e-23 -4.15955 4.1682
0.18081 -0.000155247 1.03149e-05 1.30193e-23 -4.29912 4.46603
0.177489 -0.00016721 1.60737e-05 8.03324e-22 -4.0526 4.71227
0.174201 -0.000148475 1.28593e-05 -8.1798e-22 -3.97282 4.4601
0.170942 -0.000139067 1.16338e-05 4.04076e-39 -3.91041 4.33808
0.167712 -0.000146166 1.34587e-05 8.53124e-22 -4.00567 4.4708
0.164516 -0.000168013 2.05144e-05 -1.25333e-23 -3.95689 4.85452
0.161359 -0.000166065 2.31395e-05 1.58973e-21 -3.729 4.88895
0.158235 -0.000148621 1.99315e-05 1.63483e-21 -3.60943 4.6562
0.15514 -0.000140406 1.88717e-05 -7.34684e-40 -3.53649 4.55818
0.152074 -0.000153446 2.23004e-05 -6.325e-44 -3.63902 4.80144
0.149043 -0.000166272 2.90003e-05 1.32243e-38 -3.41141 5.06978
0.146051 -0.000151346 2.66515e-05 3.18744e-21 -3.26164 4.88141
0.143089 -0.000140002 2.46081e-05 0 -3.14062 4.73518
0.140156 -0.000134764 2.40405e-05 -6.55639e-24 -3.08069 4.68594
0.137251 -0.000144942 2.71658e-05 1.61488e-21 -3.11517 4.90452
0.134383 -0.000148603 3.09812e-05 1.60751e-21 -2.89147 5.02375
0.131551 -0.000133101 2.73327e-05 -1.63881e-21 -2.78966 4.79653
0.128747 -0.000125405 2.60004e-05 -1.70067e-21 -2.69587 4.69978
0.125971 -0.00012576 2.67768e-05 1.68833e-21 -2.68055 4.75143
0.123226 -0.000136875 3.09331e-05 -1.6208e-21 -2.65514 5.00631
0.12052 -0.000136071 3.30741e-05 4.59177e-41 -2.46308 5.04016
0.11785 -0.000122458 2.96421e-05 -1.64583e-21 -2.3628 4.82795
0.115207 -0.000116271 2.85671e-05 -6.65184e-24 -2.27917 4.75278
0.112592 -0.000118583 2.96625e-05 2.32517e-28 -2.26799 4.84846
0.110008 -0.000125754 3.27629e-05 0 -2.19036 5.03742
0.107463 -0.000120743 3.32327e-05 -1.63277e-21 -2.0481 4.98184
0.104951 -0.000110645 3.05347e-05 -2.93874e-39 -1.95824 4.81807
0.102466 -0.000105917 2.9641e-05 3.44344e-21 -1.88788 4.76412
0.100007 -0.000108313 3.04607e-05 0 -1.87289 4.86657
0.0975819 -0.000111887 3.29786e-05 1.67461e-21 -1.78293 4.98745
0.095194 -0.000105233 3.18427e-05 3.3603e-21 -1.68196 4.87925
0.0928364 -9.76e-05 2.97787e-05 1.73125e-21 -1.60846 4.7488
0.0905048 -9.44537e-05 2.93178e-05 7.34684e-39 -1.55494 4.72222
0.088199 -9.9188e-05 3.08746e-05 3.36211e-21 -1.55333 4.88817
0.0859272 -0.000103436 3.40326e-05 3.27658e-24 -1.45749 5.02399
0.0836936 -9.65351e-05 3.2427e-05 1.6827e-21 -1.36751 4.89331
0.0814911 -9.01897e-05 3.05792e-05 -1.69573e-24 -1.2983 4.78096
0.0793154 -8.7144e-05 2.99481e-05 -1.76254e-21 -1.2469 4.75065
0.0771646 -8.88667e-05 3.06102e-05 -2.93874e-39 -1.22509 4.84633
0.075045 -9.01463e-05 3.21992e-05 -1.68032e-24 -1.15093 4.91259
