# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	4.66124576e+01	1.99754330e-19	-1.27702450e+02	6.38512250e+01	8.09354850e+01	2.33062288e+01	8.71574539e+01	-4.05449962e+01	2.33062288e+01	-2.33062288e+01	1.70842600e+01	-1.44786710e+02
2               	7.24405467e+00	2.35112612e-19	-1.22590207e+01	6.12951033e+00	1.02491638e+01	3.62202734e+00	9.75153766e+00	-2.50748299e+00	3.62202734e+00	-3.62202734e+00	4.11965349e+00	-1.63786741e+01
3               	-3.74519537e+00	2.15971925e-19	1.37024484e+01	-6.85122418e+00	-3.98425368e+00	-1.87259768e+00	-8.72382186e+00	4.97862649e+00	-1.87259768e+00	1.87259768e+00	2.86697050e+00	1.08354779e+01
4               	-2.97762268e-01	2.26019724e-19	1.49255963e+01	-7.46279817e+00	-4.05414517e+00	-1.48881134e-01	-7.61167930e+00	7.31391704e+00	-1.48881134e-01	1.48881134e-01	3.40865300e+00	1.15169433e+01
5               	5.24766489e-01	2.18091177e-19	4.04540127e+00	-2.02270064e+00	-1.43984770e+00	2.62383245e-01	-1.76031739e+00	2.28508388e+00	2.62383245e-01	-2.62383245e-01	5.82852942e-01	3.46254833e+00
6               	3.66397978e-01	2.17498091e-19	-3.33834639e+00	1.66917319e+00	9.68816715e-01	1.83198989e-01	1.85237218e+00	-1.48597420e+00	1.83198989e-01	-1.83198989e-01	-7.00356478e-01	-2.63798991e+00
7               	-5.41877336e-01	2.15297588e-19	-5.41682403e+00	2.70841202e+00	9.28974262e-01	-2.70938668e-01	2.43747335e+00	-2.97935068e+00	-2.70938668e-01	2.70938668e-01	-1.77943775e+00	-3.63738628e+00
8               	-7.76412466e-01	2.13462084e-19	-4.67608362e+00	2.33804181e+00	4.12424500e-01	-3.88206233e-01	1.94983558e+00	-2.72624804e+00	-3.88206233e-01	3.88206233e-01	-1.92561731e+00	-2.75046631e+00
9               	-7.34519291e-01	2.11317372e-19	-1.79627680e+00	8.98138399e-01	-4.75586663e-01	-3.67259646e-01	5.30878754e-01	-1.26539804e+00	-3.67259646e-01	3.67259646e-01	-1.37372506e+00	-4.22551736e-01
10              	-3.73804958e-01	2.10132047e-19	-4.01760519e-01	2.00880260e-01	-4.93790708e-01	-1.86902479e-01	1.39777804e-02	-3.87782739e-01	-1.86902479e-01	1.86902479e-01	-6.94670967e-01	2.92910448e-01
11              	-1.32138853e-01	2.09105444e-19	8.77582579e-01	-4.38791289e-01	-5.88885066e-01	-6.60694267e-02	-5.04860716e-01	3.72721863e-01	-6.60694267e-02	6.60694267e-02	-1.50093777e-01	1.02767636e+00
12              	1.69023830e-01	2.08344198e-19	1.06977031e+00	-5.34885156e-01	-2.82337309e-01	8.45119151e-02	-4.50373241e-01	6.19397071e-01	8.45119151e-02	-8.45119151e-02	2.52547847e-01	8.17222464e-01
13              	2.20252993e-01	2.07324919e-19	1.06975036e+00	-5.34875180e-01	-2.05290144e-01	1.10126497e-01	-4.24748684e-01	6.45001677e-01	1.10126497e-01	-1.10126497e-01	3.29585036e-01	7.40165325e-01
14              	3.31461241e-01	2.06163427e-19	4.03475850e-01	-2.01737925e-01	1.57072133e-01	1.65730620e-01	-3.60073044e-02	3.67468545e-01	1.65730620e-01	-1.65730620e-01	3.58810057e-01	4.46657923e-02
15              	2.50180473e-01	2.04989643e-19	1.65994195e-01	-8.29970974e-02	1.52423476e-01	1.25090237e-01	4.20931392e-02	2.08087334e-01	1.25090237e-01	-1.25090237e-01	2.35420574e-01	-6.94263789e-02
16              	2.23667603e-01	2.04018154e-19	-6.38766536e-01	3.19383268e-01	3.69637275e-01	1.11833802e-01	4.31217070e-01	-2.07549467e-01	1.11833802e-01	-1.11833802e-01	5.02540069e-02	-6.89020543e-01
17              	1.23935433e-01	2.03078737e-19	-7.20465807e-01	3.60232903e-01	2.68033361e-01	6.19677167e-02	4.22200620e-01	-2.98265187e-01	6.19677167e-02	-6.19677167e-02	-9.21995423e-02	-6.28266264e-01
18              	1.02636476e-01	2.02155488e-19	-1.00558199e+00	5.02790997e-01	3.18422982e-01	5.13182378e-02	5.54109235e-01	-4.51472760e-01	5.13182378e-02	-5.13182378e-02	-1.84368015e-01	-8.21213979e-01
19              	1.91707984e-02	2.01156599e-19	-8.03113397e-01	4.01556699e-01	1.51310671e-01	9.58539921e-03	4.11142098e-01	-3.91971299e-01	9.58539921e-03	-9.58539921e-03	-2.50246027e-01	-5.52867370e-01
20              	2.56934836e-02	2.00279926e-19	-8.56051967e-01	4.28025983e-01	1.73427314e-01	1.28467418e-02	4.40872725e-01	-4.15179242e-01	1.28467418e-02	-1.28467418e-02	-2.54598669e-01	-6.01453298e-01
21              	-1.68144980e-02	1.99388514e-19	-4.79367325e-01	2.39683663e-01	9.46003484e-03	-8.40724899e-03	2.31276414e-01	-2.48090912e-01	-8.40724899e-03	8.40724899e-03	-2.30223628e-01	-2.49143697e-01
22              	8.26297218e-03	1.98626681e-19	-5.28857815e-01	2.64428908e-01	6.05304202e-02	4.13148609e-03	2.68560394e-01	-2.60297421e-01	4.13148609e-03	-4.13148609e-03	-2.03898487e-01	-3.24959328e-01
23              	4.90677953e-04	1.97904796e-19	-2.78716063e-01	1.39358031e-01	-1.28368677e-02	2.45338976e-04	1.39603370e-01	-1.39112693e-01	2.45338976e-04	-2.45338976e-04	-1.52194899e-01	-1.26521164e-01
24              	3.65680820e-02	1.97269184e-19	-3.14269182e-01	1.57134591e-01	5.11000542e-02	1.82840410e-02	1.75418632e-01	-1.38850550e-01	1.82840410e-02	-1.82840410e-02	-1.06034537e-01	-2.08234645e-01
25              	3.19564520e-02	1.96634881e-19	-2.75596977e-01	1.37798489e-01	4.14669503e-02	1.59782260e-02	1.53776715e-01	-1.21820263e-01	1.59782260e-02	-1.59782260e-02	-9.63315382e-02	-1.79265439e-01
26              	7.01139365e-02	1.96034988e-19	-3.44633980e-01	1.72316990e-01	1.15487100e-01	3.50569682e-02	2.07373958e-01	-1.37260022e-01	3.50569682e-02	-3.50569682e-02	-5.68298900e-02	-2.87804090e-01
27              	6.20526235e-02	1.95426269e-19	-3.64247367e-01	1.82123683e-01	1.11884055e-01	3.10263118e-02	2.13149995e-01	-1.51097372e-01	3.10263118e-02	-3.10263118e-02	-7.02396281e-02	-2.94007739e-01
28              	8.69631268e-02	1.94885674e-19	-4.64432580e-01	2.32216290e-01	1.75665452e-01	4.34815634e-02	2.75697854e-01	-1.88734727e-01	4.34815634e-02	-4.34815634e-02	-5.65508386e-02	-4.07881742e-01
29              	7.70765841e-02	1.94299347e-19	-4.81811573e-01	2.40905786e-01	1.67304725e-01	3.85382921e-02	2.79444078e-01	-2.02367494e-01	3.85382921e-02	-3.85382921e-02	-7.36010617e-02	-4.08210511e-01
30              	8.56137668e-02	1.93558180e-19	-5.87494775e-01	2.93747387e-01	2.11557127e-01	4.28068834e-02	3.36554271e-01	-2.50940504e-01	4.28068834e-02	-4.28068834e-02	-8.21902602e-02	-5.05304514e-01
31              	7.57945232e-02	1.92566585e-19	-5.78423418e-01	2.89211709e-01	1.97294793e-01	3.78972616e-02	3.27108970e-01	-2.51314447e-01	3.78972616e-02	-3.78972616e-02	-9.19169159e-02	-4.86506502e-01
32              	7.41901869e-02	1.91922565e-19	-6.24786031e-01	3.12393015e-01	2.08709237e-01	3.70950934e-02	3.49488109e-01	-2.75297922e-01	3.70950934e-02	-3.70950934e-02	-1.03683778e-01	-5.21102253e-01
