# Wall shear stress
# Time          	patch           	min             	max             
1000            	Airfoil	(-1.86769375e-04 -1.93833586e-04 -2.90695761e-20)	(1.58071023e-05 7.36737074e-05 1.79927103e-20)
2000            	Airfoil	(-1.74384876e-04 -1.76802044e-04 -2.90043432e-20)	(4.58578328e-05 5.82509688e-05 1.80294400e-20)
3000            	Airfoil	(-1.74446500e-04 -1.74990336e-04 -2.89606681e-20)	(4.45562170e-05 6.18432382e-05 1.80277349e-20)
4000            	Airfoil	(-1.73888421e-04 -1.73295337e-04 -2.89423906e-20)	(4.35814389e-05 6.44645235e-05 1.80210093e-20)
5000            	Airfoil	(-1.73486575e-04 -1.72078645e-04 -2.89370886e-20)	(4.28596250e-05 6.63534176e-05 1.80177299e-20)
6000            	Airfoil	(-1.73212845e-04 -1.71192516e-04 -2.89349056e-20)	(4.23179488e-05 6.77480897e-05 1.80169561e-20)
7000            	Airfoil	(-1.73018225e-04 -1.70529920e-04 -2.89328870e-20)	(4.19051934e-05 6.87963260e-05 1.80167802e-20)
8000            	Airfoil	(-1.73902365e-04 -1.70020468e-04 -2.89313459e-20)	(4.15967347e-05 6.95837813e-05 1.80167347e-20)
9000            	Airfoil	(-1.75020750e-04 -1.69629015e-04 -2.89301877e-20)	(4.13651993e-05 7.01724255e-05 1.80168238e-20)
10000           	Airfoil	(-1.75869450e-04 -1.69331577e-04 -2.89278671e-20)	(4.11957201e-05 7.06105780e-05 1.80169598e-20)
