# y+ ()         
# Time          	patch           	min             	max             	average         
1000            	Ground	3.17846105e-02	2.19740369e+00	8.80731397e-01
1000            	Airfoil	1.19017410e-01	5.26058557e+00	1.52281784e+00
2000            	Ground	1.14429236e-01	1.32604280e+00	7.60364829e-01
2000            	Airfoil	1.08861198e-01	4.67672459e+00	1.42699795e+00
3000            	Ground	7.43300665e-02	1.17539895e+00	7.75809851e-01
3000            	Airfoil	1.08529709e-01	4.82121374e+00	1.45292471e+00
4000            	Ground	2.52608377e-02	1.16651478e+00	7.82358750e-01
4000            	Airfoil	1.10113975e-01	4.92495124e+00	1.46869732e+00
5000            	Ground	9.20915262e-02	1.16029823e+00	7.84626043e-01
5000            	Airfoil	1.14701931e-01	4.99828514e+00	1.47930553e+00
6000            	Ground	1.17499112e-01	1.15577383e+00	7.86439477e-01
6000            	Airfoil	1.15201922e-01	5.05172561e+00	1.48644389e+00
7000            	Ground	9.81966466e-02	1.15250062e+00	7.88612238e-01
7000            	Airfoil	1.14045145e-01	5.09152035e+00	1.49194354e+00
8000            	Ground	5.43519510e-02	1.15013939e+00	7.90974717e-01
8000            	Airfoil	1.15372386e-01	5.12121999e+00	1.49628458e+00
9000            	Ground	1.10831268e-01	1.14853518e+00	7.92806336e-01
9000            	Airfoil	1.17648036e-01	5.14331844e+00	1.49947133e+00
10000           	Ground	1.37475223e-01	1.14740519e+00	7.94153761e-01
10000           	Airfoil	1.20880819e-01	5.15970958e+00	1.50174763e+00
