# ccx tau_xx tau_yy tau_zz cp yplus
0.997359 1.47278e-06 1.44589e-08 -2.07869e-20 -0.31089 0.505893
0.991772 1.03029e-06 5.07727e-07 -2.55221e-20 -0.277668 0.517861
0.985744 4.906e-06 1.35917e-06 -1.29973e-20 -0.310482 1.14389
0.9796 2.90189e-06 7.65634e-07 -1.32485e-20 -0.298657 0.877238
0.973534 3.71894e-06 1.00361e-06 -1.34518e-20 -0.309414 0.976095
0.967576 3.31207e-06 9.49431e-07 -1.14794e-41 -0.308153 0.907735
0.961703 3.57678e-06 1.01542e-06 -1.38187e-20 -0.313664 0.930506
0.955894 3.36488e-06 9.47303e-07 -3.41507e-24 -0.315056 0.892006
0.950133 3.27494e-06 8.92844e-07 7.31814e-41 -0.318402 0.870376
0.944423 3.11242e-06 8.46263e-07 -6.98687e-24 -0.319794 0.837814
0.938767 3.0988e-06 8.36472e-07 -2.89279e-20 -0.322305 0.825328
0.933162 3.04343e-06 8.20506e-07 -1.45867e-20 -0.324074 0.807368
0.927605 3.07089e-06 8.24612e-07 -1.47299e-20 -0.326336 0.800413
0.922092 3.0446e-06 8.02751e-07 -7.26039e-24 -0.328474 0.787681
0.916623 3.05979e-06 8.03104e-07 1.49998e-20 -0.330586 0.779486
0.911193 3.05649e-06 7.83454e-07 6.0538e-37 -0.332913 0.770353
0.9058 3.05363e-06 7.8011e-07 5.87747e-39 -0.33504 0.760226
0.900445 3.07123e-06 7.74479e-07 -7.68135e-21 -0.337408 0.75327
0.895127 3.07552e-06 7.72461e-07 7.74008e-21 -0.339704 0.744332
0.889847 3.09299e-06 7.70176e-07 7.79896e-21 -0.342112 0.737266
0.884601 3.09474e-06 7.65235e-07 2.29589e-41 -0.344556 0.728388
0.879391 3.11485e-06 7.66703e-07 7.91304e-21 -0.347008 0.721478
0.874214 3.11501e-06 7.55443e-07 1.55641e-23 -0.349625 0.713137
0.86907 3.11803e-06 7.54023e-07 -8.02455e-21 -0.352106 0.704378
0.863957 3.1361e-06 7.48853e-07 8.04815e-21 -0.354805 0.698
0.858875 3.12678e-06 7.38101e-07 -8.1014e-21 -0.357466 0.688741
0.853823 3.1456e-06 7.39567e-07 8.15506e-21 -0.360155 0.682007
0.848799 3.15176e-06 7.2662e-07 3.21848e-23 -0.363013 0.675158
0.843803 3.1406e-06 7.17932e-07 -1.61976e-23 -0.365788 0.665866
0.838839 3.16461e-06 7.20015e-07 -8.35161e-21 -0.368661 0.659947
0.833903 3.16471e-06 7.05343e-07 1.17549e-38 -0.371679 0.6529
0.828993 3.1541e-06 6.98339e-07 -1.6512e-23 -0.3746 0.643898
0.824111 3.17278e-06 6.99038e-07 1.70263e-20 -0.377655 0.63768
0.819255 3.17272e-06 6.86757e-07 -8.57117e-21 -0.380811 0.630699
0.814422 3.1621e-06 6.79221e-07 -8.56984e-21 -0.383944 0.622102
0.809619 3.17139e-06 6.77909e-07 -8.67946e-21 -0.387151 0.61521
0.804843 3.17206e-06 6.69511e-07 8.71487e-21 -0.390471 0.608176
0.800093 3.16516e-06 6.60457e-07 -8.76273e-21 -0.3938 0.600445
0.795366 3.16125e-06 6.5669e-07 1.72069e-23 -0.397212 0.592564
0.790663 3.17185e-06 6.53221e-07 -1.73002e-23 -0.400674 0.586293
0.785985 3.15778e-06 6.3753e-07 -3.76158e-37 -0.404303 0.57879
0.781334 3.15256e-06 6.32789e-07 -1.79356e-20 -0.407832 0.571078
0.776706 3.1541e-06 6.29457e-07 1.46937e-37 -0.411613 0.564047
0.7721 3.1549e-06 6.15777e-07 -1.76946e-23 -0.415347 0.558146
0.767515 3.13364e-06 6.02258e-07 -9.09474e-21 -0.419306 0.550065
0.762955 3.13441e-06 5.97361e-07 9.1517e-21 -0.423131 0.543265
0.75842 3.13365e-06 5.93146e-07 3.3198e-28 -0.427317 0.536413
0.753904 3.12586e-06 5.68751e-07 1.8083e-23 -0.431372 0.531217
0.749406 3.10049e-06 5.58508e-07 9.31121e-21 -0.435717 0.522809
0.744935 3.1006e-06 5.52543e-07 2.93874e-39 -0.439899 0.516369
0.740486 3.09238e-06 5.45779e-07 -1.17549e-38 -0.444512 0.509416
0.736054 3.07766e-06 5.18616e-07 -9.45466e-21 -0.448934 0.504309
0.731643 3.05495e-06 5.10008e-07 -9.51343e-21 -0.453716 0.49638
0.727256 3.04667e-06 5.01932e-07 -1.09909e-36 -0.45833 0.489676
0.72289 3.0346e-06 4.94207e-07 0 -0.463383 0.482786
0.71854 3.0111e-06 4.67799e-07 9.60967e-37 -0.468267 0.477168
0.714212 2.99353e-06 4.58927e-07 9.69834e-21 -0.473503 0.470082
0.709908 2.97164e-06 4.48471e-07 1.90609e-23 -0.47865 0.462724
0.705622 2.95847e-06 4.39626e-07 -1.91418e-23 -0.484145 0.456124
0.701355 2.92158e-06 4.15229e-07 1.92572e-23 -0.489614 0.449332
0.697109 2.9088e-06 4.03273e-07 4.95548e-21 -0.495307 0.443307
0.692883 2.86889e-06 3.89583e-07 4.97583e-21 -0.501128 0.43499
0.688675 2.85925e-06 3.79224e-07 9.84583e-28 -0.507071 0.429034
0.684489 2.80347e-06 3.55265e-07 1.4013e-45 -0.513298 0.42073
0.680321 2.78828e-06 3.35367e-07 2.20405e-38 -0.519458 0.415652
0.676169 2.73644e-06 3.20003e-07 -1.01444e-20 -0.526114 0.406899
0.672039 2.71587e-06 3.05957e-07 5.10745e-21 -0.532549 0.400527
0.667931 2.67119e-06 2.90515e-07 -9.18355e-38 -0.539649 0.392472
0.663836 2.59003e-06 2.50636e-07 1.02943e-20 -0.546473 0.384346
0.65976 2.58339e-06 2.37839e-07 -2.05712e-38 -0.553809 0.37943
0.655705 2.50741e-06 2.15193e-07 -2.03242e-23 -0.561221 0.369413
0.651666 2.48933e-06 1.97824e-07 4.08033e-23 -0.568839 0.363734
0.647646 2.38916e-06 1.65713e-07 -4.10555e-23 -0.576865 0.352986
0.643644 2.31653e-06 1.29962e-07 5.27931e-21 -0.584753 0.345354
0.639657 2.28087e-06 1.11847e-07 5.31925e-21 -0.593196 0.338775
0.635688 2.20888e-06 9.00528e-08 -8.14397e-37 -0.601675 0.329555
0.631741 2.15695e-06 6.72652e-08 5.33455e-21 -0.610558 0.321887
0.627809 2.02161e-06 3.16959e-08 5.39603e-21 -0.61965 0.309081
0.623892 1.94515e-06 5.23551e-11 -2.1118e-23 -0.62881 0.300793
0.619996 1.87739e-06 -2.42846e-08 -5.41091e-21 -0.638464 0.292181
0.616115 1.79357e-06 -5.05721e-08 -5.45147e-21 -0.648219 0.282351
0.612252 1.70359e-06 -7.77845e-08 2.07778e-39 -0.658454 0.272055
0.608408 1.53006e-06 -1.14562e-07 -5.50946e-21 -0.668888 0.25568
0.604579 1.4194e-06 -1.46982e-07 5.52872e-21 -0.679478 0.244255
0.600766 1.32696e-06 -1.73393e-07 -1.46937e-39 -0.69057 0.233647
0.596973 1.20077e-06 -2.09059e-07 -2.93874e-39 -0.701924 0.21998
0.593195 1.08955e-06 -2.4859e-07 5.60618e-21 -0.713686 0.207558
0.589435 8.58715e-07 -2.99218e-07 1.02856e-38 -0.725987 0.183818
0.585692 6.61592e-07 -3.38479e-07 -5.66531e-21 -0.738156 0.162544
0.581962 5.97627e-07 -3.70536e-07 -6.61216e-39 -0.750957 0.154813
0.578251 3.60469e-07 -4.13967e-07 2.1012e-37 -0.764409 0.129719
0.574558 2.98762e-07 -4.60241e-07 5.74379e-21 -0.777529 0.125866
0.57088 -7.61708e-08 -5.22738e-07 -5.78557e-21 -0.792677 0.120881
