# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	4.66711558e+01	2.56866818e-19	-1.27748287e+02	6.38741433e+01	8.10023457e+01	2.33355779e+01	8.72097212e+01	-4.05385654e+01	2.33355779e+01	-2.33355779e+01	1.71282024e+01	-1.44876489e+02
2               	7.25589660e+00	2.38720012e-19	-1.22287947e+01	6.11439737e+00	1.02363453e+01	3.62794830e+00	9.74234567e+00	-2.48644907e+00	3.62794830e+00	-3.62794830e+00	4.12194792e+00	-1.63507427e+01
3               	-3.72510425e+00	2.08407313e-19	1.34779187e+01	-6.73895936e+00	-3.86779624e+00	-1.86255212e+00	-8.60151148e+00	4.87640724e+00	-1.86255212e+00	1.86255212e+00	2.87116311e+00	1.06067556e+01
4               	-2.86117672e-01	2.26500461e-19	1.48643362e+01	-7.43216809e+00	-4.00706663e+00	-1.43058836e-01	-7.57522693e+00	7.28910926e+00	-1.43058836e-01	1.43058836e-01	3.42510146e+00	1.14392347e+01
5               	5.33178369e-01	2.20527106e-19	4.10806818e+00	-2.05403409e+00	-1.44882452e+00	2.66589184e-01	-1.78744491e+00	2.32062328e+00	2.66589184e-01	-2.66589184e-01	6.05209570e-01	3.50285861e+00
6               	3.77704450e-01	2.21464059e-19	-3.39138967e+00	1.69569483e+00	1.01007793e+00	1.88852225e-01	1.88454706e+00	-1.50684261e+00	1.88852225e-01	-1.88852225e-01	-6.85616905e-01	-2.70577276e+00
7               	-5.31448884e-01	2.19980941e-19	-5.44626212e+00	2.72313106e+00	9.60862547e-01	-2.65724442e-01	2.45740662e+00	-2.98885550e+00	-2.65724442e-01	2.65724442e-01	-1.76226851e+00	-3.68399361e+00
8               	-7.58292646e-01	2.17588782e-19	-4.75843632e+00	2.37921816e+00	4.61738854e-01	-3.79146323e-01	2.00007184e+00	-2.75836448e+00	-3.79146323e-01	3.79146323e-01	-1.91747930e+00	-2.84095701e+00
9               	-7.19742191e-01	2.15360303e-19	-1.84874462e+00	9.24372308e-01	-4.39714784e-01	-3.59871095e-01	5.64501212e-01	-1.28424340e+00	-3.59871095e-01	3.59871095e-01	-1.36408709e+00	-4.84657524e-01
10              	-3.62561104e-01	2.13604398e-19	-4.76409072e-01	2.38204536e-01	-4.48488481e-01	-1.81280552e-01	5.69239838e-02	-4.19485088e-01	-1.81280552e-01	1.81280552e-01	-6.86693017e-01	2.10283945e-01
11              	-1.20197534e-01	2.12399941e-19	8.09283434e-01	-4.04641717e-01	-5.43382916e-01	-6.00987671e-02	-4.64740484e-01	3.44542950e-01	-6.00987671e-02	6.00987671e-02	-1.38741199e-01	9.48024633e-01
12              	1.82595279e-01	2.11392259e-19	1.00528087e+00	-5.02640436e-01	-2.37167740e-01	9.12976393e-02	-4.11342797e-01	5.93938075e-01	9.12976393e-02	-9.12976393e-02	2.65472696e-01	7.39808176e-01
13              	2.34122248e-01	2.10097430e-19	1.00482145e+00	-5.02410727e-01	-1.58873641e-01	1.17061124e-01	-3.85349603e-01	6.19471852e-01	1.17061124e-01	-1.17061124e-01	3.43537086e-01	6.61284369e-01
14              	3.45488945e-01	2.08875283e-19	3.39169242e-01	-1.69584621e-01	2.03223297e-01	1.72744472e-01	3.15985109e-03	3.42329093e-01	1.72744472e-01	-1.72744472e-01	3.72807918e-01	-3.36386761e-02
15              	2.63312279e-01	2.07627791e-19	1.04607969e-01	-5.23039845e-02	1.96912445e-01	1.31656140e-01	7.93521550e-02	1.83960124e-01	1.31656140e-01	-1.31656140e-01	2.49216430e-01	-1.44608461e-01
16              	2.36928746e-01	2.06623643e-19	-6.98169315e-01	3.49084657e-01	4.13809266e-01	1.18464373e-01	4.67549030e-01	-2.30620284e-01	1.18464373e-01	-1.18464373e-01	6.47246087e-02	-7.62893924e-01
17              	1.37529703e-01	2.05708167e-19	-7.86964692e-01	3.93482346e-01	3.14989556e-01	6.87648514e-02	4.62247198e-01	-3.24717495e-01	6.87648514e-02	-6.87648514e-02	-7.84927906e-02	-7.08471902e-01
18              	1.15582339e-01	2.04853942e-19	-1.06473620e+00	5.32368101e-01	3.61876162e-01	5.77911697e-02	5.90159271e-01	-4.74576931e-01	5.77911697e-02	-5.77911697e-02	-1.70491939e-01	-8.94244263e-01
19              	3.20919595e-02	2.03920231e-19	-8.69746397e-01	4.34873198e-01	1.96968642e-01	1.60459798e-02	4.50919178e-01	-4.18827219e-01	1.60459798e-02	-1.60459798e-02	-2.37904557e-01	-6.31841840e-01
20              	3.87083728e-02	2.03071951e-19	-9.17002762e-01	4.58501381e-01	2.16699608e-01	1.93541864e-02	4.77855567e-01	-4.39147195e-01	1.93541864e-02	-1.93541864e-02	-2.41801773e-01	-6.75200989e-01
21              	-4.48890162e-03	2.02237576e-19	-5.40447105e-01	2.70223553e-01	5.13303163e-02	-2.24445081e-03	2.67979102e-01	-2.72468003e-01	-2.24445081e-03	2.24445081e-03	-2.18893236e-01	-3.21553869e-01
22              	1.98697423e-02	2.01526412e-19	-5.81891945e-01	2.90945972e-01	9.80844945e-02	9.93487113e-03	3.00880844e-01	-2.81011101e-01	9.93487113e-03	-9.93487113e-03	-1.92861478e-01	-3.89030467e-01
23              	1.24318257e-02	2.00822492e-19	-3.31675961e-01	1.65837981e-01	2.42557549e-02	6.21591285e-03	1.72053893e-01	-1.59622068e-01	6.21591285e-03	-6.21591285e-03	-1.41582226e-01	-1.90093735e-01
24              	4.78128716e-02	2.00185314e-19	-3.59581981e-01	1.79790991e-01	8.37899778e-02	2.39064358e-02	2.03697426e-01	-1.55884555e-01	2.39064358e-02	-2.39064358e-02	-9.60010128e-02	-2.63580968e-01
25              	4.32406877e-02	1.99618953e-19	-3.21765478e-01	1.60882739e-01	7.37328792e-02	2.16203439e-02	1.82503083e-01	-1.39262395e-01	2.16203439e-02	-2.16203439e-02	-8.71498596e-02	-2.34615618e-01
26              	8.11292455e-02	1.99089691e-19	-3.85347159e-01	1.92673579e-01	1.45108928e-01	4.05646228e-02	2.33238202e-01	-1.52108957e-01	4.05646228e-02	-4.05646228e-02	-4.75646513e-02	-3.37782507e-01
27              	7.32491831e-02	1.98528000e-19	-4.05999731e-01	2.02999865e-01	1.42095408e-01	3.66245916e-02	2.39624457e-01	-1.66375274e-01	3.66245916e-02	-3.66245916e-02	-6.09044570e-02	-3.45095274e-01
28              	9.80457354e-02	1.98015252e-19	-5.10885065e-01	2.55442532e-01	2.07300306e-01	4.90228677e-02	3.04465400e-01	-2.06419665e-01	4.90228677e-02	-4.90228677e-02	-4.81422260e-02	-4.62742839e-01
