# Wall shear stress
# Time          	patch           	min             	max             
1000            	Airfoil	(-1.66260988e-04 -1.69398016e-04 -2.90668221e-20)	(9.27480039e-06 6.18990423e-05 1.80156281e-20)
2000            	Airfoil	(-1.77423385e-04 -1.72197373e-04 -2.89392815e-20)	(1.05815515e-05 6.28338126e-05 1.80517667e-20)
3000            	Airfoil	(-1.76840784e-04 -1.70197766e-04 -2.89196118e-20)	(9.76974545e-06 6.52693263e-05 1.80543266e-20)
4000            	Airfoil	(-1.76241438e-04 -1.68541548e-04 -2.89195734e-20)	(9.14337489e-06 6.73324964e-05 1.80517378e-20)
5000            	Airfoil	(-1.75746327e-04 -1.67233166e-04 -2.89130338e-20)	(8.64890638e-06 6.95496269e-05 1.80505949e-20)
6000            	Airfoil	(-1.75359061e-04 -1.66242502e-04 -2.89067392e-20)	(8.27957025e-06 7.12203820e-05 1.80501875e-20)
7000            	Airfoil	(-1.75070441e-04 -1.65506610e-04 -2.89018181e-20)	(8.00230525e-06 7.24560129e-05 1.80499975e-20)
8000            	Airfoil	(-1.74843324e-04 -1.64956758e-04 -2.88980608e-20)	(7.80291127e-06 7.33595399e-05 1.80498729e-20)
9000            	Airfoil	(-1.74860277e-04 -1.64559975e-04 -2.88947974e-20)	(7.64742831e-06 7.40175556e-05 1.80498701e-20)
10000           	Airfoil	(-1.75753254e-04 -1.64265094e-04 -2.88938072e-20)	(7.53949165e-06 7.44926633e-05 1.80498330e-20)
