# y+ ()         
# Time          	patch           	min             	max             	average         
1000            	Ground	7.53757775e-02	2.16633017e+00	8.87678400e-01
1000            	Airfoil	1.14309837e-01	4.49543443e+00	1.44722107e+00
2000            	Ground	1.12425220e-01	1.40948893e+00	7.79822004e-01
2000            	Airfoil	1.08479984e-01	4.74710153e+00	1.45818379e+00
3000            	Ground	2.47161165e-02	1.22168782e+00	7.86808037e-01
3000            	Airfoil	1.10266428e-01	4.89088913e+00	1.48166974e+00
4000            	Ground	9.13816759e-02	1.21283193e+00	7.94478889e-01
4000            	Airfoil	1.16858605e-01	4.99805286e+00	1.49812445e+00
5000            	Ground	6.26269396e-02	1.20621278e+00	7.99871382e-01
5000            	Airfoil	1.14916145e-01	5.07986379e+00	1.51053630e+00
6000            	Ground	1.08796373e-01	1.20144405e+00	8.04127361e-01
6000            	Airfoil	1.21370577e-01	5.14067329e+00	1.51998449e+00
7000            	Ground	9.23570340e-02	1.19803010e+00	8.07429903e-01
7000            	Airfoil	9.19081534e-02	5.18518952e+00	1.52652883e+00
8000            	Ground	1.48006879e-01	1.19577949e+00	8.10047339e-01
8000            	Airfoil	1.22868397e-01	5.21751147e+00	1.53208799e+00
9000            	Ground	1.05393779e-01	1.19423424e+00	8.12061182e-01
9000            	Airfoil	1.22424910e-01	5.24092192e+00	1.53562291e+00
10000           	Ground	5.78089978e-02	1.19320383e+00	8.13715413e-01
10000           	Airfoil	1.22121050e-01	5.25776588e+00	1.53847580e+00
