# ccx tau_xx tau_yy tau_zz cp yplus
0.997359 -1.95044e-07 -9.78978e-07 -2.0934e-20 -0.324882 0.397179
0.991772 9.69654e-07 4.61684e-07 -2.54881e-20 -0.295343 0.500331
0.985744 4.63555e-06 1.27915e-06 -1.30133e-20 -0.323475 1.11165
0.9796 2.9257e-06 7.57489e-07 -1.32442e-20 -0.31516 0.880193
0.973534 3.76879e-06 1.0145e-06 -1.34491e-20 -0.324933 0.982421
0.967576 3.46846e-06 9.88285e-07 0 -0.324533 0.928612
0.961703 3.75948e-06 1.06307e-06 -1.38032e-20 -0.330223 0.953733
0.955894 3.5656e-06 9.98596e-07 -3.41061e-24 -0.332213 0.917953
0.950133 3.48243e-06 9.4579e-07 1.72192e-41 -0.335921 0.89731
0.944423 3.31611e-06 8.98977e-07 -6.97813e-24 -0.337676 0.864615
0.938767 3.29608e-06 8.87887e-07 -2.88938e-20 -0.340439 0.851044
0.933162 3.23491e-06 8.70376e-07 -1.45703e-20 -0.342464 0.832235
0.927605 3.26037e-06 8.73808e-07 -1.47143e-20 -0.344956 0.824597
0.922092 3.23195e-06 8.50337e-07 -7.25292e-24 -0.347345 0.811414
0.916623 3.24366e-06 8.49706e-07 1.4985e-20 -0.349692 0.802431
0.911193 3.23825e-06 8.28273e-07 6.70032e-37 -0.352254 0.792794
0.9058 3.23131e-06 8.23939e-07 8.81621e-39 -0.354621 0.781905
0.900445 3.24671e-06 8.17095e-07 -7.67465e-21 -0.357202 0.774366
0.895127 3.25123e-06 8.14775e-07 7.7335e-21 -0.359736 0.765171
0.889847 3.26966e-06 8.12225e-07 7.7925e-21 -0.362377 0.757899
0.884601 3.27301e-06 8.0733e-07 -6.88766e-41 -0.365074 0.748945
0.879391 3.29596e-06 8.09135e-07 7.90672e-21 -0.367765 0.742025
0.874214 3.3004e-06 7.98037e-07 1.55517e-23 -0.370654 0.733917
0.86907 3.30537e-06 7.97024e-07 -8.01823e-21 -0.373405 0.725098
0.863957 3.32727e-06 7.92074e-07 8.04189e-21 -0.376376 0.718828
0.858875 3.3207e-06 7.81398e-07 -8.09514e-21 -0.379329 0.709645
0.853823 3.34198e-06 7.83226e-07 8.14885e-21 -0.382299 0.702843
0.848799 3.35179e-06 7.69972e-07 3.21605e-23 -0.385462 0.696121
0.843803 3.34105e-06 7.61207e-07 -1.61855e-23 -0.388551 0.686661
0.838839 3.36695e-06 7.63431e-07 -8.34553e-21 -0.391713 0.680591
0.833903 3.37098e-06 7.48334e-07 1.17549e-38 -0.395058 0.673709
0.828993 3.36153e-06 7.41414e-07 -1.65001e-23 -0.398308 0.664607
0.824111 3.38299e-06 7.42492e-07 1.70143e-20 -0.401683 0.658341
0.819255 3.38705e-06 7.29994e-07 -8.56519e-21 -0.405183 0.651525
0.814422 3.37894e-06 7.22656e-07 -8.56391e-21 -0.40867 0.64295
0.809619 3.39116e-06 7.21717e-07 -8.67354e-21 -0.412228 0.636042
0.804843 3.39562e-06 7.13374e-07 8.70897e-21 -0.415919 0.629115
0.800093 3.39117e-06 7.04236e-07 -8.75686e-21 -0.419623 0.621386
0.795366 3.38965e-06 7.0072e-07 1.71954e-23 -0.42342 0.613471
0.790663 3.40387e-06 6.9744e-07 -1.72888e-23 -0.427272 0.607231
0.785985 3.39176e-06 6.81213e-07 -4.70198e-38 -0.431316 0.599725
0.781334 3.38852e-06 6.76585e-07 -1.79242e-20 -0.435245 0.591941
0.776706 3.39197e-06 6.73287e-07 3.17383e-37 -0.439453 0.584806
0.7721 3.39464e-06 6.58729e-07 -1.76836e-23 -0.443612 0.578841
0.767515 3.37306e-06 6.44596e-07 -9.08918e-21 -0.448027 0.570571
0.762955 3.37435e-06 6.39375e-07 9.14623e-21 -0.452275 0.563557
0.75842 3.37362e-06 6.34662e-07 3.69155e-28 -0.456932 0.556453
0.753904 3.3665e-06 6.08321e-07 1.80725e-23 -0.461443 0.551164
0.749406 3.34134e-06 5.97765e-07 9.30587e-21 -0.46629 0.542615
0.744935 3.34314e-06 5.91447e-07 -2.93874e-39 -0.470937 0.536064
0.740486 3.33429e-06 5.83912e-07 -1.76324e-38 -0.476083 0.528844
0.736054 3.31908e-06 5.5452e-07 -9.4495e-21 -0.481006 0.523593
0.731643 3.29773e-06 5.45631e-07 -9.50826e-21 -0.486349 0.515604
0.727256 3.29042e-06 5.3718e-07 -6.61216e-37 -0.491482 0.508767
0.72289 3.2763e-06 5.28462e-07 0 -0.497127 0.501523
0.71854 3.25083e-06 4.99649e-07 1.67214e-36 -0.502565 0.495677
0.714212 3.23502e-06 4.90554e-07 9.69337e-21 -0.508416 0.488554
0.709908 3.21306e-06 4.79305e-07 1.90513e-23 -0.514153 0.481032
0.705622 3.19698e-06 4.6922e-07 -1.91323e-23 -0.520295 0.474031
0.701355 3.15592e-06 4.42468e-07 1.92479e-23 -0.526389 0.466882
0.697109 3.14372e-06 4.29581e-07 4.9531e-21 -0.532749 0.460738
0.692883 3.10223e-06 4.14789e-07 4.97347e-21 -0.539239 0.452211
0.688675 3.08722e-06 4.02247e-07 1.09385e-27 -0.545881 0.44568
0.684489 3.02191e-06 3.75874e-07 2.8026e-45 -0.552816 0.436688
0.680321 3.00415e-06 3.54085e-07 1.32243e-38 -0.55968 0.431318
0.676169 2.94816e-06 3.37412e-07 -1.01399e-20 -0.567091 0.422224
0.672039 2.92492e-06 3.21129e-07 5.10525e-21 -0.574269 0.415525
0.667931 2.85872e-06 3.01808e-07 -4.34933e-37 -0.582186 0.40588
0.663836 2.76196e-06 2.57266e-07 1.02903e-20 -0.589726 0.396759
0.65976 2.75995e-06 2.42126e-07 -1.76324e-38 -0.597883 0.392029
0.655705 2.67504e-06 2.16712e-07 -2.03162e-23 -0.60612 0.381403
0.651666 2.64465e-06 1.96357e-07 4.07878e-23 -0.614592 0.374746
0.647646 2.51021e-06 1.59428e-07 -4.10408e-23 -0.623468 0.361653
0.643644 2.42654e-06 1.21735e-07 5.27753e-21 -0.632149 0.353308
0.639657 2.39049e-06 1.00403e-07 5.31746e-21 -0.641499 0.346656
0.635688 2.30828e-06 7.53214e-08 -5.88528e-37 -0.650871 0.336715
0.631741 2.23212e-06 4.86822e-08 5.33283e-21 -0.6607 0.327267
0.627809 2.05963e-06 9.71657e-09 5.39442e-21 -0.670674 0.311797
0.623892 1.97677e-06 -2.59243e-08 -2.11121e-23 -0.680718 0.303051
0.619996 1.907e-06 -5.36858e-08 -5.40935e-21 -0.691343 0.294299
0.616115 1.81312e-06 -8.21989e-08 -5.4499e-21 -0.702102 0.283721
0.612252 1.69549e-06 -1.1045e-07 1.01019e-39 -0.713383 0.271267
0.608408 1.49361e-06 -1.50217e-07 -5.50803e-21 -0.724795 0.25252
0.604579 1.38198e-06 -1.86316e-07 5.52732e-21 -0.736379 0.240982
0.600766 1.2927e-06 -2.18605e-07 1.46937e-39 -0.748563 0.230664
0.596973 1.16415e-06 -2.58282e-07 0 -0.761033 0.216798
0.593195 1.02204e-06 -2.99444e-07 5.60468e-21 -0.773968 0.20152
0.589435 7.4746e-07 -3.49558e-07 1.46937e-38 -0.787311 0.173112
0.585692 5.42779e-07 -3.90614e-07 -5.664e-21 -0.80048 0.151135
0.581962 4.75828e-07 -4.28468e-07 -8.08152e-39 -0.814419 0.144049
0.578251 2.35218e-07 -4.76101e-07 -9.84477e-38 -0.829008 0.123477
0.574558 1.41233e-07 -5.27434e-07 5.74238e-21 -0.843387 0.122121
0.57088 -3.20203e-07 -6.02112e-07 -5.78392e-21 -0.859659 0.143653
0.567217 -7.30334e-07 -6.75319e-07 2.26538e-23 -0.873751 0.180902
0.563571 -7.40585e-07 -7.18504e-07 -5.82058e-21 -0.889819 0.181856
0.559938 -1.0419e-06 -7.81627e-07 5.87747e-39 -0.906175 0.205093
0.556324 -1.18686e-06 -8.44522e-07 0 -0.922655 0.215211
0.552728 -1.66211e-06 -9.26279e-07 0 -0.94083 0.245766
0.549143 -2.30017e-06 -1.00147e-06 -3.67342e-40 -0.957495 0.283005
0.545574 -2.52832e-06 -1.05798e-06 -2.97697e-21 -0.97458 0.294247
0.542022 -2.67672e-06 -1.1184e-06 -3.67342e-39 -0.992553 0.299795
0.538484 -3.03355e-06 -1.18102e-06 1.56896e-39 -1.01151 0.314869
0.534963 -3.17657e-06 -1.26279e-06 1.36318e-39 -1.0299 0.319406
0.531459 -4.00448e-06 -1.3426e-06 -2.36245e-23 -1.05166 0.352525
0.527966 -4.69789e-06 -1.39574e-06 2.37277e-23 -1.06834 0.380267
0.52449 -4.68927e-06 -1.46103e-06 -6.1324e-21 -1.08861 0.376965
0.521029 -5.04017e-06 -1.52879e-06 2.39363e-23 -1.10869 0.386833
0.517583 -5.34695e-06 -1.60291e-06 3.05413e-21 -1.12973 0.394557
0.514153 -5.73368e-06 -1.69398e-06 2.41712e-23 -1.15125 0.404578
0.510739 -6.60347e-06 -1.76465e-06 2.42399e-23 -1.17404 0.429885
0.507337 -7.18686e-06 -1.8168e-06 3.07e-21 -1.19364 0.446605
0.503952 -7.30787e-06 -1.89407e-06 2.4481e-23 -1.21603 0.446583
0.500581 -7.70246e-06 -1.9691e-06 -3.14307e-21 -1.23866 0.454213
0.497225 -8.05806e-06 -2.05658e-06 -3.18563e-21 -1.262 0.460382
0.493886 -8.59437e-06 -2.15731e-06 3.19851e-21 -1.28644 0.470994
0.490559 -9.62112e-06 -2.21978e-06 3.18269e-21 -1.31122 0.494467
0.487247 -1.0229e-05 -2.26988e-06 -3.22741e-21 -1.33295 0.507888
0.483951 -1.04006e-05 -2.35952e-06 -3.18933e-21 -1.3576 0.507934
0.480666 -1.08403e-05 -2.44393e-06 1.83671e-39 -1.38266 0.514027
0.477399 -1.12705e-05 -2.54307e-06 -1.74823e-37 -1.40856 0.519606
0.474148 -1.18634e-05 -2.6645e-06 -2.54344e-23 -1.43562 0.528451
0.470907 -1.3235e-05 -2.71483e-06 3.29099e-21 -1.46377 0.554078
0.467683 -1.40567e-05 -2.73822e-06 3.28696e-21 -1.48612 0.570075
0.464473 -1.41511e-05 -2.84141e-06 -3.32315e-21 -1.51286 0.567572
0.461275 -1.4614e-05 -2.93121e-06 2.58598e-23 -1.53979 0.572061
0.458093 -1.51408e-05 -3.02532e-06 6.66052e-21 -1.56803 0.57747
0.454926 -1.55119e-05 -3.18644e-06 -1.90283e-37 -1.59632 0.579991
0.451772 -1.73423e-05 -3.23089e-06 -3.35211e-21 -1.63006 0.607733
0.448632 -1.86614e-05 -3.17552e-06 1.63008e-39 -1.65092 0.631788
